,Key,Mean
0, action language,ngôn ngữ dùng để xác định sự thay đổi trạng thái của hệ thống
1, addition,phép cộng
2, algorithm,thuật toán
3, alphanumeric,gồm chữ và số
4, API,(application programming interface) giao diện lập trình ứng dụng
5, architecture,kiến trúc của hệ thống máy tính
6, arithmetic operation,phép toán số học
7, array,mảng
8, assembler,chương trình dịch hợp ngữ
9, assembly language,hợp ngữ
10, assign,gán
11, batch,việc xử lý hàng loạt
12, batch processing,xử lý hàng loạt
13, binary,hệ nhị phân
14, Boolean,(kiểu dữ liệu) chỉ có hai giá trị đúng hoặc sai
15, bracket,dấu ngoặc
16, bug,lỗi
17, character code,mã ký tự
18, class,lớp trong lập trình hướng đối tượng
19, code,mã
20, command,lệnh
21, command interpreter,chương trình phiên dịch lệnh
22, command language,ngôn ngữ lệnh
23, compile,biên dịch
24, compiler,trình biên dịch
25, concurrent computing,tính toán đồng thời
26, configuration,cấu hình
27, constant,hằng số
28, constraint programming,lập trình ràng buộc
29, crack,làm phần mềm có tính phí được sử dụng miễn phí
30, CRC,(cyclic redundancy check) kỹ thuật kiểm tra độ dư tuần hoàn
31, data-driven programming,lập trình dựa trên dữ liệu
32, dataflow programming,lập trình dòng dữ liệu
33, debug,sửa lỗi
34, debugger,chương trình tìm và sửa lỗi
35, decimal,thập phân
36, declarative programming,lập trình khai báo
37, declare,khai báo
38, decode,giải mã
39, decrypt,dịch mã
40, defensive programming,lập trình phòng thủ
41, disassemble,dịch ngữ mã máy sang ngôn ngữ người đọc
42, disassembler,trình phân dịch
43, division,phép chia
44, dynamic,động
45, dynamic programming,quy hoạch động
46, element,phần tử
47, encode,mã hóa
48, encrypt,lập mã dữ liệu
49, encryption,sự mã hóa
50, entropy,dữ liệu ngẫu nhiên
51, environment,môi trường
52, escape character,ký tự thoát
53, event handler,thành phần xử lý sự kiện
54, event-driven programming,lập trình dựa trên sự kiện
55, evolutionary algorithm,thuật toán tiến hóa
56, extreme programming,lập trình cực hạn
57, fault tolerance,tính chịu lỗi (khả năng của một hệ thống vẫn tiếp tục hoạt động kể cả khi một trong các thành phần của nó gặp sự cố)
58, functional programming,lập trình hàm
59, generic programming,lập trình khái quát
60, genetic algorithm,giải thuật di truyền
61, genetic programming,lập trình di truyền
62, glitch,sự cố kỹ thuật nhỏ
63, global variable,biến toàn cục
64, GUI,(graphical user interface) giao diện đồ họa
65, hash function,hàm băm
66, hexadecimal,thập lục phân
67, high-level programming language,ngôn ngữ lập trình cấp cao
68, imperative programming,lập trình mệnh lệnh
69, implement,thi hành
70, inheritance,sự thừa hưởng
71, initialize,khởi động máy
72, input,quá trình nhập liệu
73, integer,số nguyên
74, intelligent agent,tác tử thông minh
75, interpreter,trình thông dịch
76, iteration,tính chất lặp đi lặp lại
77, legal,hợp lệ
78, load,tải
79, local variable,biến cục bộ
80, logic circuit,mạch logic
81, logic programming,lập trình logic
82, logical operator,toán tử logic
83, loop,cấu trúc lặp
84, low-level,cấp thấp (ngôn ngữ lập trình)
85, low-level programming language,ngôn ngữ lập trình cấp thấp
86, machine code,mã máy
87, macro,lệnh macro
88, matrix,ma trận
89, metaprogramming,siêu lập trình
90, method,phương pháp
91, microcode,vi mã
92, modular programming,lập trình mô-đun
93, multiplication,phép nhân
94, natural language,ngôn ngữ tự nhiên
95, null,giá trị rỗng
96, object,đối tượng
97, object-oriented programming,lập trình hướng đối tượng
98, operand,toán hạng
99, output,thông tin do máy tính xuất ra
100, overflow,tràn dữ liệu
101, override,ghi đè
102, parallel algorithm,thuật toán song song
103, parallel computing,tính toán song song
104, parameter,tham số
105, parity bit,bit chẵn lẻ (bit dùng để báo hiệu số lượng bit có giá trị bằng 1 trong một nhóm bit cho trước là một số chẵn hay là một số lẻ)
106, parse,phân tích cú pháp
107, pattern matching,việc đối chiếu mẫu
108, pointer,con trỏ
109, polymorphism,tính đa hình
110, procedural programming,lập trình thủ tục
111, procedure,quy trình
112, program,một tập các lệnh dùng để chỉ định một sự tính toán
113, programmer,lập trình viên
114, programming language,ngôn ngữ lập trình
115, programming paradigm,mô hình lập trình
116, protocol stack,chồng giao thức
117, pseudocode,mã giả
118, public-key cryptography,mã hóa khóa công khai
119, query language,ngôn ngữ truy vấn
120, recursive,đệ quy
121, request,yêu cầu
122, reserved word,từ dành riêng
123, retrieve,lấy lại dữ liệu
124, routine,đoạn mã được sử dụng ở nhiều nơi khác nhau
125, runtime,thời điểm khi máy đang chạy chương trình
126, script,kịch bản
127, seek time,thời gian xác định vị trí tập tin lưu trên đĩa
128, SGML,(standard generalized mark-up language) ngôn ngữ đánh dấu tiêu chuẩn
129, source code,mã nguồn
130, source program,chương trình được viết bằng mã nguồn
131, SQL,(structured query language) ngôn ngữ truy vấn cấu trúc
132, statement,câu lệnh
133, static,tĩnh
134, string,chuỗi
135, structured programming,lập trình cấu trúc
136, subscript,biểu tượng để xác định một yếu tố trong chuỗi
137, subtraction,phép trừ
138, syntax,cú pháp
139, system programming,lập trình hệ thống
140, tacit programming,"mô hình lập trình mà hàm không xác định các đối số, trong đó định nghĩa của hàm chỉ ra sự kết hợp của các hàm"
141, topology,cấu trúc kiểu liên kết
142, variable,biến số
143, XML,(extensible markup language) ngôn ngữ đánh dấu mở rộng
144, analogue,tương tự
145, analyst,chuyên gia phân tích
146, appropriate,thích hợp
147, artificial intelligence,trí tuệ nhân tạo
148, ASCII,chuẩn mã trao đổi thông tin Hoa Kỳ
149, backspace,phím xóa ngược
150, bitmap,ảnh bitmap
151, boot,khởi động
152, capability,năng lực
153, case-sensitive,phân biệt chữ hoa và chữ thường
154, character,kí tự
155, circuit switching,việc chuyển mạch
156, click,kích chọn một chức năng trên màn hình vi tính
157, clip art,hình ảnh và ký hiệu được lưu trữ trên máy tính có thể dùng để thêm vào các văn bản khác
158, clipboard,khu vực lưu trữ thông tin ngắn hạn
159, close,đóng
160, communication,phương thức liên lạc
161, compatible,tương thích
162, compile,biên dịch
163, complex,phức tạp
164, component,bộ phận
165, compress,nén
166, computational linguistics,ngôn ngữ học tính toán
167, computer,máy vi tính
168, computer cluster,một tập hợp các máy tính được kết nối với nhau và được xem như một hệ thống
169, computer science,khoa học máy tính
170, computerize,vi tính hóa
171, control panel,bảng điều khiển
172, convert,chuyển đổi
173, copy,sao chép
174, corrupt,"bị sửa đổi, có chứa lỗi"
175, crash,lỗi bị ngừng hoạt động đột ngột
176, cursor,con trỏ chuột
177, cut,cắt
178, cybercrime,tội phạm công nghệ thông tin
179, data transfer rate,tốc độ truyền dữ liệu
180, decompress,giải nén
181, default,xác lập mặc định
182, defragment,chống phân mảnh (hợp nhất các tập tin tương tự nhau)
183, delete,xóa
184, device,thiết bị
185, digital,kĩ thuật số
186, directory,thư mục
187, docking station,thiết bị ngoại vi máy tính thường được sử dụng để mở rộng các tiện ích của máy tính xách tay
188, double-click,kích đúp chuột
189, draft,bản nháp
190, drag-and-drop,kéo thả
191, duplicate,bản sao
192, e-book,sách điện tử
193, enter,nhập dữ liệu
194, execute,thực thi
195, external,ở bên ngoài
196, fetch,tìm về
197, file,"tệp, tập tin"
198, filename extension,phần mở rộng của tên tập tin
199, flow chart,lưu đồ
200, folder,thư mục
201, font,phông chữ
202, frame rate,tốc độ thay đổi khung hình
203, function,chức năng
204, graph,đồ thị
205, highlight,làm nổi bật một đoạn văn bản để dễ thấy
206, hypermedia,hệ thống siêu văn bản đa phương tiện
207, icon,biểu tượng
208, inference,"điều suy ra, điều kết luận"
209, information,thông tin
210, information technology,công nghệ thông tin
211, instruction,hướng dẫn
212, internal,nội bộ
213, intricate,phức tạp
214, key,phím
215, keystroke,hành động gõ phím
216, landscape,chế độ hiển thị kiểu phong cảnh
217, laptop,máy vi tính xách tay
218, legacy system,hệ thống cũ
219, line,đường ống dẫn
220, logical,có tính logic
221, mailing list,danh sách địa chỉ email
222, maintenance,sự bảo trì
223, manipulate,xử lý
224, maximize,phóng to cửa sổ
225, menu,bảng tùy chọn
226, menu bar,thanh menu
227, microfilm,vi phim
228, minimize,thu nhỏ cửa sổ
229, multiprocessing,đa tiến trình
230, multitasking,tính năng đa nhiệm
231, nest,lồng vào
232, numerical,thuộc số
233, open,mở
234, operation,hoạt động
235, optical,thuộc quang học
236, option,lựa chọn
237, outsource,thuê nhân lực bên ngoài
238, overload,quá tải
239, paste,dán
240, PDA,thiết bị kỹ thuật số hỗ trợ cá nhân
241, perform,thực hiện
242, personal computer,máy tính cá nhân
243, pixel,điểm ảnh
244, plug,cắm
245, portrait,chế độ hiển thị kiểu chân dung
246, print,in
247, printer,máy in
248, random,ngẫu nhiên
249, reboot,khởi động lại
250, reduce,làm giảm
251, replace,thay thế
252, resize,thay đổi kích thước
253, resolution,độ phân giải
254, respond,phản hồi
255, restore,khôi phục lại
256, return,nút quay lại
257, save,lưu
258, scan,quét
259, screenshot,ảnh chụp màn hình
260, scroll,cuộn lên xuống
261, scroll bar,thanh cuộn
262, search,tìm kiếm
263, sequential,theo trình tự
264, service,dịch vụ
